id	structure
unige:168052	Département de chimie organique
unige:168053	Département de chimie organique
unige:168054	Département de chimie organique
unige:168055	Département de chimie organique
unige:168056	Département de chimie organique
unige:168057	Département de chimie organique
unige:168058	Département de chimie organique
unige:168059	Département de chimie organique
unige:168064	Département de langue et de littérature anglaises
unige:168065	Département de droit international privé
unige:168066	Département de langues et littératures romanes
unige:168066	Département de langue et de littérature anglaises
unige:168067	Département de droit international privé
unige:168068	Département de droit international privé
unige:168069	Département de droit international privé
unige:168070	Faculté d'économie et de management
unige:168072	Département de droit international privé
unige:168073	Département de droit international privé
unige:168075	Département de droit international privé
unige:168076	Département des sciences de la Terre
unige:168077	Département des sciences de la Terre
unige:168078	Département des sciences de la Terre
unige:168078	Institut des sciences de l'environnement
unige:168078	Département F.-A. Forel des sciences de l'environnement et de l'eau
unige:168079	Département des sciences de la Terre
unige:168079	Département F.-A. Forel des sciences de l'environnement et de l'eau
unige:168079	Institut des sciences de l'environnement
unige:168080	Département de droit international privé
unige:168080	Centre universitaire d'informatique
unige:168081	Département de physique de la matière quantique
unige:168082	Département des sciences de la Terre
unige:168083	Département F.-A. Forel des sciences de l'environnement et de l'eau
unige:168084	Section de mathématiques
unige:168085	Section de mathématiques
unige:168086	Section de mathématiques
unige:168087	Section de mathématiques
unige:168088	Section de mathématiques
unige:168089	Section de mathématiques
unige:168090	Section de mathématiques
unige:168091	Section de mathématiques
unige:168092	Institut de la gouvernance de l'environnement et du développement territorial
unige:168092	Institut de recherches sociologiques
unige:168092	Département de sociologie
unige:168101	Global Studies Institute
unige:168101	Département de science politique et relations internationales
unige:168102	Département de science politique et relations internationales
unige:168102	Global Studies Institute
unige:168104	Département de science politique et relations internationales
unige:168105	Département de science politique et relations internationales
unige:168106	Département de science politique et relations internationales
unige:168107	Département de science politique et relations internationales
unige:168107	Global Studies Institute
unige:168113	Département de géographie et environnement
unige:168113	Institut de la gouvernance de l'environnement et du développement territorial
unige:168114	Département de géographie et environnement
unige:168115	Département de droit international privé
unige:168116	Département de droit international privé
unige:168117	Département de droit international privé
unige:168118	Département de droit international privé
unige:168119	Ecole d'avocature
unige:168120	Ecole d'avocature
unige:168123	Département de droit international privé
unige:168124	Institut de démographie et de socioéconomie
unige:168125	Département de droit international privé
unige:168127	Département de sociologie
unige:168131	Département de droit international privé
unige:168132	Institut de démographie et de socioéconomie
unige:168133	Institut des études genre
unige:168134	Département de géographie et environnement
unige:168135	Institut de recherches sociologiques
unige:168135	Département de sociologie
unige:168139	Centre d'études juridiques européennes
unige:168139	Département de droit international public et organisation internationale
unige:168140	Centre d'études juridiques européennes
unige:168140	Département de droit international public et organisation internationale
unige:168141	Centre d'études juridiques européennes
unige:168141	Département de droit international public et organisation internationale
unige:168142	Département de droit international privé
unige:168145	Section des sciences de l'éducation
unige:168146	Section des sciences de l'éducation
unige:168148	Département de géographie et environnement
unige:168149	MediaLAB-Genève, Institut des sciences de la communication, des médias et du journalisme
unige:168149	Département de sociologie
unige:168150	Section des sciences de l'éducation
unige:168151	Section des sciences de l'éducation
unige:168152	Section des sciences de l'éducation
unige:168153	Section des sciences de l'éducation
unige:168154	Section des sciences de l'éducation
unige:168155	Section des sciences de l'éducation
unige:168156	Technologies de formation et apprentissage
unige:168157	Institut de recherches sociologiques
unige:168158	MediaLAB-Genève, Institut des sciences de la communication, des médias et du journalisme
unige:168159	Section des sciences de l'éducation
unige:168160	MediaLAB-Genève, Institut des sciences de la communication, des médias et du journalisme
unige:168161	Global Studies Institute
unige:168162	Centre d'études juridiques européennes
unige:168162	Département de droit international public et organisation internationale
unige:168163	MediaLAB-Genève, Institut des sciences de la communication, des médias et du journalisme
unige:168163	Département de sociologie
unige:168164	Section de psychologie
unige:168165	MediaLAB-Genève, Institut des sciences de la communication, des médias et du journalisme
unige:168165	Département de sociologie
unige:168166	Département de droit international privé
