id	980a
unige:168077	Article scientifique
unige:168078	Article scientifique
unige:168079	Article scientifique
unige:168080	Présentation / Intervention
unige:168081	Article scientifique
unige:168082	Article scientifique
unige:168083	Article scientifique
unige:168084	Article scientifique
unige:168085	Article scientifique
unige:168086	Article scientifique
unige:168087	Livre
unige:168088	Article scientifique
unige:168089	Article scientifique
unige:168090	Article scientifique
unige:168091	Article scientifique
unige:168092	Chapitre de livre
unige:168093	Article scientifique
unige:168094	Article scientifique
unige:168095	Article professionnel
unige:168097	Article professionnel
unige:168098	Article scientifique
unige:168099	Article scientifique
unige:168100	Article scientifique
unige:168101	Working paper
unige:168102	Article scientifique
unige:168103	Article scientifique
unige:168104	Working paper
unige:168105	Working paper
unige:168106	Working paper
unige:168107	Article scientifique
unige:168108	Article scientifique
unige:168109	Article scientifique
unige:168110	Article scientifique
unige:168111	Article scientifique
unige:168112	Article scientifique
unige:168113	Chapitre de livre
unige:168114	Article scientifique
unige:168115	Article scientifique
unige:168116	Article scientifique
unige:168117	Article scientifique
unige:168118	Article scientifique
unige:168119	Article scientifique
unige:168120	Article scientifique
unige:168123	Chapitre de livre
unige:168124	Master
unige:168125	Chapitre de livre
unige:168127	Master
unige:168131	Article scientifique
unige:168132	Master
unige:168133	Master
unige:168134	Article scientifique
unige:168135	Master
unige:168139	Chapitre d'actes
unige:168140	Article scientifique
unige:168141	Chapitre de livre
unige:168142	Article scientifique
unige:168143	Article scientifique
unige:168144	Article professionnel
unige:168145	Chapitre de livre
unige:168146	Chapitre de livre
unige:168147	Livre
unige:168148	Article scientifique
unige:168149	Master
unige:168150	Présentation / Intervention
unige:168151	Article professionnel
unige:168152	Article professionnel
unige:168153	Article professionnel
unige:168154	Numéro de revue
unige:168155	Article professionnel
unige:168156	Article scientifique
unige:168157	Master
unige:168158	Master
unige:168159	Présentation / Intervention
unige:168160	Master
unige:168161	Article scientifique
unige:168162	Chapitre d'actes
unige:168163	Master
unige:168164	Article scientifique
unige:168165	Master
unige:168166	Article scientifique
unige:168167	Article scientifique
unige:168168	Master
unige:168169	Chapitre de livre
unige:168170	Master
unige:168171	Article scientifique
unige:168172	Article scientifique
unige:168173	Article scientifique
unige:168174	Article scientifique
unige:168175	Article scientifique
unige:168176	Rapport de recherche
unige:168177	Article scientifique
unige:168178	Article scientifique
unige:168179	Article scientifique
