id	pmid
unige:167771	34887401
unige:167774	34422455
unige:167783	36803582
unige:167788	36259453
unige:167813	36809763
unige:167815	36791140
unige:167816	36100501
unige:167817	36788082
unige:167819	36852147
unige:167820	35973854
unige:167824	36361771
unige:167825	36845280
unige:167826	36567614
unige:167827	34996516
unige:167828	36285628
unige:167835	34818657
unige:167836	36866156
unige:167837	36401292
unige:167838	36675659
unige:167874	36394836
unige:167880	36983402
unige:167881	34283411
unige:167882	36878359
unige:167883	36686264
unige:167884	33859093
unige:167897	36979966
unige:167935	36684393
unige:167939	36763424
unige:167968	36888738
unige:167977	31801103
unige:167979	34035536
unige:168019	35138879
unige:168020	34706263
unige:168021	36882415
unige:168035	37012313
unige:168036	37000496
unige:168062	36960445
unige:168063	31286102
unige:168071	36790170
unige:168074	37014051
unige:168078	37001654
unige:168082	35860374
unige:168093	36199077
unige:168094	36698814
unige:168097	36876395
unige:168098	36877434
unige:168100	8800064
unige:168103	37028408
unige:168108	8725543
unige:168109	8608501
unige:168110	7494132
unige:168111	7499168
unige:168112	7862960
unige:168143	8789488
unige:168161	37024116
unige:168175	24131397
unige:168177	32895063
unige:168179	26459124
unige:168181	29236555
unige:168199	35921273
unige:168228	36277872
unige:168253	36928382
unige:168258	37061517
unige:168264	9017019
unige:168265	8772136
unige:168267	36473517
unige:168268	35698004
unige:168270	37123558
unige:168273	36893680
unige:168274	36826721
unige:168275	36968808
unige:168278	8960631
unige:168279	9402200
unige:168280	9702711
unige:168282	33920732
unige:168283	34914727
unige:168284	34976630
unige:168285	34176912
unige:168286	33500487
unige:168287	34504135
unige:168288	33749116
unige:168289	34757153
unige:168290	34992984
unige:168292	36985827
unige:168293	36985597
unige:168294	36641941
unige:168295	36978895
unige:168297	37017006
unige:168299	37074208
unige:168305	34890769
unige:168308	34269327
unige:168310	33421129
unige:168311	33849611
unige:168312	34002802
unige:168313	34193102
unige:168314	34402036
unige:168317	37093045
unige:168318	36447615
unige:168319	35776776
unige:168322	36458812
unige:168324	36648442
unige:168339	36980767
unige:168340	36215865
unige:168341	35671611
unige:168342	37075112
unige:168345	36412088
unige:168349	36401553
unige:168378	35999332
unige:168380	24403280
unige:168381	31417715
unige:168384	36917711
unige:168386	24921969
unige:168387	37002261
unige:168388	36375651
unige:168389	30559430
unige:168393	37017107
unige:168398	31887605
unige:168403	30699412
unige:168407	33535090
unige:168410	34095426
unige:168413	34738698
unige:168414	33761909
unige:168415	35002989
unige:168416	34469552
unige:168417	34964587
unige:168418	33427802
unige:168419	34519140
unige:168420	34905397
unige:168421	34325836
unige:168422	34136915
unige:168423	33969747
unige:168424	34222150
unige:168425	33857394
unige:168426	34527529
unige:168427	34676242
unige:168428	33975385
unige:168430	10077013
unige:168431	10894059
unige:168433	10939483
unige:168435	37102098
unige:168437	34642986
unige:168438	37042163
unige:168439	35749176
unige:168441	37098224
unige:168452	31561147
unige:168496	37037411
unige:168498	37086708
unige:168500	36440281
unige:168501	17287651
unige:168502	16865385
unige:168505	35858735
unige:10463	11487647
unige:10464	9329156
unige:10465	14980390
unige:10466	11796145
unige:10467	1653339
unige:10468	10771075
unige:10470	14754871
unige:10471	9429652
unige:10472	15351624
unige:10473	14705125
unige:10474	6725082
unige:10475	7107465
unige:10476	20028714
unige:10477	10465424
unige:10478	10613489
unige:10479	9089790
unige:10480	7739792
unige:10481	8743750
