856_domain	DATA	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	FUNDER	FNS_FUNDER	EU_FUNDER
AGING-US.COM	0	1	0	1	0	0	0	0	0	0	1	1	0
AGIS11.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRONOMY-JOURNAL.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AGSJOURNALS.ONLINELIBRARY.WILEY.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
AGU.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AGUPUBS.ONLINELIBRARY.WILEY.COM	0	0	0	0	0	0	0	0	0	0	1	0	1
AHAJOURNALS.ORG	4	25	23	4	1	0	0	0	0	0	11	10	2
AHBPS.ORG	0	1	1	0	0	0	0	0	0	0	0	0	0
AI.JMIR.ORG	0	1	1	0	0	0	0	0	0	0	0	0	0
AIBL.CSIRO.AU	1	1	1	0	0	0	0	0	0	0	0	0	0
AICVF.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AIDAINFORMAZIONI.IT	0	0	0	0	0	0	0	0	0	0	0	0	0
AIDSHILFE.DE	0	3	3	0	0	0	0	0	0	0	0	0	0
AIETI.EU	0	0	0	0	0	0	0	0	0	0	0	0	0
AIIC.NET	0	0	0	0	0	0	0	0	0	0	0	0	0
AIMSCI.COM	0	0	0	0	0	0	0	0	0	0	1	1	0
AIMSCIENCES.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AIMSPRESS.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	0	0	0	0	0	0	0	0	0	0	10	7	5
AISB.ORG.UK	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAE.OXFORDJOURNALS.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AJE.OXFORDJOURNALS.ORG	0	1	1	0	0	0	0	0	0	0	0	0	0
AJH.SAGEPUB.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
AJMC.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
AJNR.ORG	0	14	14	0	0	0	0	0	0	1	4	4	0
AJO.ASMEPRESS.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
AJOL.INFO	0	2	2	0	0	0	0	0	0	0	0	0	0
AJP.PSYCHIATRYONLINE.ORG	0	2	2	1	0	0	0	0	0	0	1	1	0
AJPCELL.PHYSIOLOGY.ORG	0	9	8	3	0	0	0	0	0	0	0	0	0
AJPENDO.PHYSIOLOGY.ORG	0	6	4	4	0	0	0	0	0	0	0	0	0
AJPGI.PHYSIOLOGY.ORG	0	2	2	0	0	0	0	0	0	0	0	0	0
AJPHEART.PHYSIOLOGY.ORG	0	3	2	1	0	0	0	0	0	0	0	0	0
AJPLUNG.PHYSIOLOGY.ORG	0	3	3	2	0	0	0	0	0	0	0	0	0
AJPREGU.PHYSIOLOGY.ORG	0	2	0	2	0	0	0	0	0	0	0	0	0
AJPRENAL.PHYSIOLOGY.ORG	0	4	2	4	0	0	0	0	0	0	0	0	0
AJRCCM.ATSJOURNALS.ORG	0	14	10	5	0	0	0	0	0	0	0	0	0
AJRCMB.ATSJOURNALS.ORG	0	3	2	1	0	0	0	0	0	0	1	1	0
AJRONLINE.ORG	0	6	6	0	0	0	0	0	0	0	0	0	0
AJS.SAGEPUB.COM	0	6	6	0	0	0	0	0	0	0	0	0	0
AJSONLINE.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AJTMH.ORG	0	5	5	1	0	0	0	0	0	0	0	0	0
AKADEMIAI.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
AKJOURNALS.COM	0	2	2	0	0	0	0	0	0	0	0	0	0
ALBIN-MICHEL.FR	0	0	0	0	0	0	0	0	0	0	0	0	0
ALCOOLOGIE-ET-ADDICTOLOGIE.FR	0	0	0	0	0	0	0	0	0	0	0	0	0
ALENCONTRE.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ALES.AMEGROUPS.COM	0	2	1	0	0	0	0	0	1	0	0	0	0
ALEXANDRIA.UNISG.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
ALFRESCO.UCLOUVAIN.BE	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLEGRALABORATORY.NET	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLIANCE-SUSTAINABLE-ENTERPRISES.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLIANCEMAGAZINE.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPHIL.COM	0	0	0	0	0	0	0	0	0	0	1	1	0
ALTERNAUTAS.NET	0	0	0	0	0	0	0	0	0	0	0	0	0
ALTEX.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
ALTEX.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ALZ-JOURNALS.ONLINELIBRARY.WILEY.COM	0	14	14	1	0	0	0	0	0	1	6	5	3
ALZRES.BIOMEDCENTRAL.COM	0	12	11	2	0	1	1	0	0	0	8	8	6
AMAZON.FR	0	1	1	0	0	0	0	0	0	0	0	0	0
AMERICANANTHROPOLOGIST.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AMERICANPHARMACEUTICALREVIEW.COM	0	1	0	0	0	1	0	0	0	0	0	0	0
