date	id	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	DATA	DATA_TYPE_appendixes	DATA_TYPE_data_supplements	DATA_TYPE_shared_data	FUNDER	FNS_FUNDER	EU_FUNDER	type	BIOMED_DATA	BIOMED_NOT_DATA	NOT_DATA
1928	unige:106392unige:106397unige:106418unige:106615unige:106616unige:107792unige:109105unige:110323unige:111484unige:111485unige:111486unige:111498unige:111819unige:111878unige:112116	15	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueChapitre de livreArticle professionnelArticle professionnelArticle professionnelArticle scientifiqueChapitre d'actesArticle professionnelArticle scientifique	0	15	15
1929	unige:172665unige:93536unige:106401unige:106586unige:107790unige:109258unige:109329unige:109938unige:111489unige:111499unige:112112	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueThèseArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnel	0	11	11
1930	unige:107481unige:109197unige:109949unige:110002unige:110004unige:111391unige:111482unige:111483unige:111500	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnel	0	9	9
1931	unige:108358unige:109208unige:109941unige:109942unige:110201unige:110203unige:111433unige:111829	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueChapitre d'actesChapitre d'actesArticle scientifiqueArticle scientifique	0	8	8
1932	unige:100743unige:106585unige:109543unige:109887unige:110001unige:110003unige:110409unige:111822unige:111824unige:111825unige:111827unige:111828	12	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	ThèseArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueChapitre d'actesChapitre d'actesChapitre d'actesChapitre d'actesArticle scientifique	0	12	12
1933	unige:106419unige:106426unige:107642unige:107643unige:109111unige:109939unige:110194unige:110195unige:110196	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	Article professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueChapitre de livreArticle scientifiqueChapitre d'actesChapitre d'actesChapitre d'actes	0	9	9
1934	unige:103911unige:106393unige:106398unige:106626unige:108744unige:109107unige:109923unige:109935unige:109950unige:111666unige:111670	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	LivreArticle scientifiqueArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelChapitre de livre	0	11	11
1935	unige:106396unige:107479	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifique	0	2	2
1936	unige:106400unige:106624unige:108884unige:108886unige:108887unige:109879unige:109880unige:109945	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	8	8
1937	unige:108885unige:109940unige:111665	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifique	0	3	3
1938	unige:96843unige:106399unige:109108unige:109881unige:109944unige:109946	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	6	6
1939	unige:96844unige:96845unige:96846unige:96847unige:101484unige:106621unige:106622unige:107480unige:107482unige:109106unige:111471unige:111664unige:141571	13	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueThèseArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelArticle scientifiqueChapitre d'actesArticle scientifiqueThèse	0	13	13
1940	unige:101486unige:111820	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	ThèseChapitre d'actes	0	2	2
1941	unige:93358unige:96848unige:96849unige:106422unige:111487unige:111667	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	ThèseArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	6	6
1942	unige:101687unige:109926unige:109927unige:111661	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	4	4
1943	unige:97582unige:97583unige:110904unige:111488	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnel	0	4	4
1944	unige:92906unige:97282unige:97335unige:97584unige:108357unige:109929unige:109931unige:109933unige:111390	9	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	ThèseArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	9	9
1945	unige:96548unige:97454unige:97531unige:97532unige:97577unige:97578unige:97579unige:97580unige:97581unige:106620unige:107476unige:109924	12	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	Article professionnelArticle scientifiqueLivreLivreArticle scientifiqueArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	12	12
1946	unige:167444unige:97336unige:97337unige:97338unige:97339unige:97340unige:97341unige:97343unige:97344unige:97345unige:97346unige:97347unige:97455unige:97456unige:97457unige:97458unige:97459unige:97530unige:98163unige:99987unige:99988unige:101345unige:109097unige:109925unige:109934unige:164541	26	1	0	21	1	0	1	2	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueAutre articleArticle professionnelArticle professionnelArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelArticle professionnelArticle scientifiqueLivreArticle professionnelArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	26	26
1947	unige:95707unige:96228unige:96229unige:96230unige:96231unige:97348unige:97452unige:108185unige:109936unige:109943unige:164368	11	0	0	9	1	0	1	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelArticle scientifiqueArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifique	0	11	11
1948	unige:94395unige:95697unige:95797unige:95798unige:95799unige:95800unige:95801unige:95802unige:95803unige:95804unige:96158unige:96165unige:106619unige:109259	14	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	ThèseArticle scientifiqueArticle professionnelArticle professionnelArticle professionnelArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueAutre articleLivreChapitre de livreArticle scientifiqueArticle professionnel	0	14	14
1949	unige:95659unige:95693unige:95694unige:95695unige:95696unige:95698unige:104431unige:106618unige:109112unige:111505unige:111815	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueThèseArticle scientifiqueChapitre de livreArticle professionnelArticle scientifique	0	11	11
1950	unige:95690unige:95791unige:95807unige:95810unige:95811unige:95813unige:95814unige:96047unige:96048unige:96049unige:96050unige:96051unige:96052unige:96156unige:97026unige:106390unige:106423unige:164540	18	0	0	17	0	0	1	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle professionnelArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueChapitre de livreArticle scientifiqueArticle professionnelArticle scientifiqueArticle scientifique	0	18	18
1951	unige:92905unige:96232unige:96850unige:96851unige:96852unige:96856unige:97025unige:97027unige:97537unige:107487unige:164264	11	0	0	9	1	0	1	0	0	0	0	0	0	0	0	0	ThèseAutre articleArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelArticle scientifiqueChapitre de livreChapitre de livreArticle scientifique	0	11	11
1952	unige:96857unige:96858unige:96859unige:97029unige:97030unige:97031unige:97034unige:97035unige:97283unige:97535unige:97588unige:97589unige:98161	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelArticle professionnelLivreArticle scientifiqueArticle scientifiqueArticle professionnel	0	13	13
1953	unige:97284unige:97536unige:97585unige:97586unige:97587unige:103455unige:141573unige:164542	8	0	0	6	1	0	1	0	0	0	0	0	0	0	0	0	Article scientifiqueChapitre d'actesArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueThèseArticle scientifique	0	8	8
1954	unige:95699unige:95700unige:95701unige:95702unige:96055unige:96157unige:96234unige:96235unige:97332unige:97333unige:97334unige:103454unige:164545unige:164546unige:164547	15	0	0	12	0	0	3	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueLivreArticle scientifiqueArticle scientifiqueArticle professionnelArticle professionnelArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	15	15
1955	unige:95789unige:96135unige:96136unige:96137unige:96138unige:96139unige:96140unige:98641unige:112106unige:164585	10	0	0	8	1	0	1	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueThèseArticle scientifiqueChapitre d'actes	0	10	10
1956	unige:96082unige:96132unige:96134unige:96159unige:96160unige:141562unige:156454	7	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	Article scientifiqueArticle professionnelArticle scientifiqueChapitre d'actesChapitre d'actesThèseArticle scientifique	0	7	7
1957	unige:93191unige:95767unige:95768unige:95779unige:95781unige:95782unige:95783unige:95784unige:95785unige:95786unige:96101unige:96130unige:96131unige:96167unige:96181unige:141572	16	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	ThèseArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelArticle scientifiqueChapitre de livreChapitre d'actesThèse	0	16	16
1958	unige:95689unige:95769unige:95771unige:95774unige:95775unige:95776unige:95777unige:95778unige:95780unige:95787unige:95788unige:162776	12	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	12	12
1959	unige:95770unige:95772unige:95773unige:95812unige:99164	5	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	Article professionnelArticle scientifiqueArticle scientifiqueArticle professionnelArticle scientifique	0	5	5
1960	unige:172508unige:95790unige:95805unige:95806unige:96081unige:96096unige:96097unige:96098unige:96099unige:96129unige:96162unige:96163unige:96166unige:96233	14	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	ThèseArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelArticle scientifiqueArticle professionnelArticle professionnelArticle scientifiqueChapitre d'actesChapitre d'actesChapitre de livreArticle scientifique	0	14	14
1961	unige:95808unige:95809unige:96053unige:96054unige:96080unige:96083unige:96100unige:96161unige:96164	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelArticle professionnelChapitre de livreChapitre d'actes	0	9	9
1962	unige:103347unige:103348unige:103350unige:103351unige:103352unige:103353unige:103376unige:103378unige:103380unige:103856unige:156455	11	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	Article professionnelArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelArticle scientifiqueArticle scientifique	0	11	11
1963	unige:102004unige:103307unige:103343unige:103345unige:103346unige:103349unige:103362unige:103375unige:103863unige:160204	10	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	ThèseArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelArticle scientifiqueChapitre de livreArticle scientifiqueArticle professionnelAutre article	0	10	10
1964	unige:94931unige:97022unige:97024unige:102015unige:103344unige:103354unige:103377unige:103379	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueThèseArticle scientifiqueArticle professionnelArticle professionnelArticle professionnel	0	8	8
1965	unige:95066unige:101910unige:103336unige:103337unige:103338unige:103339unige:103340unige:103341unige:103342unige:103360unige:103381unige:148730unige:148731	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueThèseArticle scientifiqueArticle professionnelArticle professionnelArticle professionnelArticle professionnelArticle scientifiqueArticle scientifiqueChapitre d'actesArticle scientifiqueArticle scientifiqueArticle scientifique	0	13	13
1966	unige:95108unige:97342unige:101335unige:103361unige:103370unige:103371unige:103592unige:103717	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	LivreArticle scientifiqueThèseChapitre de livreArticle scientifiqueArticle scientifiqueChapitre de livreArticle scientifique	0	8	8
1967	unige:93180unige:94294unige:103363unige:103364unige:103366unige:103368unige:103373unige:103699unige:103702	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	ThèseThèseArticle scientifiqueArticle scientifiqueArticle professionnelArticle professionnelArticle professionnelChapitre de livreChapitre d'actes	0	9	9
1968	unige:167440unige:94267unige:94295unige:94373unige:102637unige:103359unige:103365unige:103369unige:103372unige:103374unige:103853unige:103855unige:103857unige:103858unige:103859unige:103860unige:141574	17	0	0	14	3	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueThèseThèseThèseArticle scientifiqueOuvrage collectifArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelArticle professionnelArticle professionnelArticle professionnelArticle scientifiqueArticle scientifiqueThèse	0	17	17
1969	unige:172671unige:81169unige:102636unige:102638unige:103438unige:103701unige:103854unige:103861unige:141568	9	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelChapitre de livreChapitre d'actesArticle scientifiqueArticle scientifiqueThèse	0	9	9
1970	unige:172666unige:97023unige:103169unige:103708unige:103709unige:103710unige:103711unige:103718unige:103720unige:103725unige:103726unige:103851unige:103852unige:9265unige:160847unige:167220unige:167248	17	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelArticle scientifiqueArticle scientifiqueArticle professionnelArticle professionnelArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	17	17
