id	856_3	856_f	856_u	856_x	856_z	DATA	DATA_TYPE	date	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	FUNDER	FNS_FUNDER	EU_FUNDER	type	856_domain	856_filetype
unige:152524	Supplemental data	ja00025a035_si_001.pdf	https://archive-ouverte.unige.ch/download/a4eaa350-da60-4d0b-a66a-a544a70b639e	Public access	CC BY-NC-ND	1	data supplements	1991	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:152547	Supplemental data	41598_2021_91685_MOESM1_ESM.docx	https://archive-ouverte.unige.ch/download/fa3f69c5-3ab0-4716-8959-c976fc4dcf54	Public access	0	1	data supplements	2021	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:152547	Supplemental data	41598_2021_91685_MOESM2_ESM.docx	https://archive-ouverte.unige.ch/download/6fb1a911-03d4-44b0-a242-9ab77a09f2f6	Public access	0	1	data supplements	2021	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:152547	Supplemental data	41598_2021_91685_MOESM3_ESM.docx	https://archive-ouverte.unige.ch/download/5f0a44a4-05ad-4ac1-81e2-ccdf0e5c679f	Public access	0	1	data supplements	2021	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:152549	Appendix	11606_2021_6753_MOESM1_ESM.docx	https://archive-ouverte.unige.ch/download/91a17894-94fd-4c14-9b11-0e879f61fe94	Public access	0	1	appendixes	2021	1	1	0	0	0	0	0	1	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:152549	Appendix	11606_2021_6753_MOESM2_ESM.docx	https://archive-ouverte.unige.ch/download/9a567c7a-0429-40f9-82d3-24654005ecaa	Public access	0	1	appendixes	2021	1	1	0	0	0	0	0	1	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:152586	Appendix	1-s2.0-S2590171021000047-mmc1.docx	https://archive-ouverte.unige.ch/download/985b7c91-8f70-48c1-80a7-4decd21f6b7e	Public access	0	1	appendixes	2021	1	1	0	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:152598	Appendix	apha13610-sup-0001-figs1-s7-1.docx	https://archive-ouverte.unige.ch/download/f3ea210f-0d3a-45a5-8925-23e5f2db0504	Restricted access	0	1	appendixes	2021	1	1	1	1	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:152598	Supplemental data	apha13610-sup-0002-datasets1-1.xlsx	https://archive-ouverte.unige.ch/download/7d9e5d79-257c-45a7-8d46-e1635b4a49a7	Restricted access	0	1	data supplements	2021	1	1	1	1	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	XLSX
unige:152598	Supplemental data	apha13610-sup-0003-datasets2.xlsx	https://archive-ouverte.unige.ch/download/d2daad2d-b840-4349-b280-4cc693607d15	Restricted access	0	1	data supplements	2021	1	1	1	1	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	XLSX
