id	date	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	DATA	DATA_TYPE_appendixes	DATA_TYPE_data_supplements	DATA_TYPE_shared_data	FUNDER	FNS_FUNDER	EU_FUNDER	type
unige:168729	2021	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168730	2022	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168731	2020	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168732	2019	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168733	2022	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	Article scientifique
unige:168734	2021	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168735	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168736	2022	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168737	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique
unige:168738	2020	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique
unige:168755	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168756	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168767	2022	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	Article scientifique
unige:168770	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Présentation / Intervention
unige:168781	2021	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	Article scientifique
unige:168782	2022	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168785	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique
unige:168788	2019	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	Article scientifique
unige:168789	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Contribution à un dictionnaire / une encyclopédie
unige:168791	2021	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168792	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique
unige:168794	2022	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168795	2022	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	Article scientifique
unige:168796	2021	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	Article scientifique
unige:168797	2021	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168798	2021	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	Article scientifique
unige:168799	2021	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	Article scientifique
unige:168800	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168801	2021	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	Article scientifique
unige:168802	2021	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	Article scientifique
unige:168803	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique
unige:168804	2022	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	Article scientifique
unige:168805	2021	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	Article scientifique
unige:168806	2021	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	Article scientifique
unige:168807	2021	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	Article scientifique
unige:168808	2021	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	Article scientifique
unige:168809	2022	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	Article scientifique
unige:168810	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique
unige:168811	2022	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	Article scientifique
unige:168812	2021	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	Article scientifique
unige:168813	2022	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	Article scientifique
unige:168814	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	Chapitre de livre
unige:168815	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168816	2022	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168817	2022	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168818	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168819	2022	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	Article scientifique
unige:168820	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168821	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168822	2021	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168823	2022	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	Article scientifique
unige:168824	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168825	2019	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168826	2019	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168827	2020	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168828	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168886	2021	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168888	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168889	2018	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168890	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168895	2022	1	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0	Article scientifique
unige:168896	2022	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	0	Article scientifique
unige:168899	2021	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168900	2018	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168901	2019	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168902	2019	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168903	2019	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168904	2021	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168905	2019	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168907	2022	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique
unige:168910	2022	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	Article scientifique
unige:168911	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
