id	date	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	DATA	DATA_TYPE_appendixes	DATA_TYPE_data_supplements	DATA_TYPE_shared_data	FUNDER	FNS_FUNDER	EU_FUNDER	type	DOI	PMID	AOU	PUBMED	DATA_PUBMED	OPENALEX	DOI_OPENALEX	ID_OPENALEX	is_oa	oa_status	date_openalex	PMID_OPENALEX
unige:148414	2019	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.53738/REVMED.2019.15.666.1836	31599531	1	0	0	1		W3123537889	False	closed	2019	0
unige:125800	2019	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/LIV.14244	31680451	1	0	0	1	10.1111/LIV.14244	W2984346097	True	bronze	2019	0
unige:139852	2019	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1186/S12882-019-1623-4	31752784	1	0	0	1	10.1186/S12882-019-1623-4	W2990728461	True	gold	2019	0
unige:151784	2019	1	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	Article scientifique	10.1038/S42003-019-0667-0	31754647	1	0	0	1	10.1038/S42003-019-0667-0	W2984680396	True	gold	2019	0
unige:132570	2019	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique	10.1182/BLOODADVANCES.2018030478	31765481	1	0	0	1	10.1182/BLOODADVANCES.2018030478	W2989616438	True	gold	2019	0
unige:130034	2020	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/LIV.14282	31808281	1	0	0	1	10.1111/LIV.14282	W2984008258	True	bronze	2019	0
unige:133150	2019	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1051/MEDSCI/2019215	31903929	1	0	0	1	10.1051/MEDSCI/2019215	W3013588199	True	hybrid	2019	0
unige:129851	2019	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	Article scientifique	10.1109/EMBC.2019.8856890	31947316	1	0	0	1	10.1109/EMBC.2019.8856890	W2979594495	True	green	2019	0
unige:133144	2020	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1002/MP.14081	32040865	1	0	0	1	10.1002/MP.14081	W3006209959	True	green	2020	0
unige:161833	2020	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique	10.1164/RCCM.201911-2226LE	32069065	1	0	0	1	10.1164/RCCM.201911-2226LE	W3006852354	True	hybrid	2020	0
unige:152666	2020	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique		32073766	1	0	0	1		W3030194470	False	closed	2020	0
unige:132878	2020	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/LIV.14362	32077608	1	0	0	1	10.1111/LIV.14362	W3008923960	True	hybrid	2020	0
unige:156601	2020	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/J.REHAB.2020.01.005	32087307	1	0	0	1	10.1016/J.REHAB.2020.01.005	W3007333598	True	green	2020	0
unige:151681	2020	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1007/S00259-020-04742-W	32130450	1	0	0	1	10.1007/S00259-020-04742-W	W3010053391	True	bronze	2020	0
unige:142379	2020	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1001/JAMAOPHTHALMOL.2019.0934	32163122	1	0	0	1	10.1001/JAMAOPHTHALMOL.2019.0934	W3012308228	False	closed	2020	0
unige:150530	2020	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.4414/SMW.2020.20225	32191813	1	0	0	1	10.4414/SMW.2020.20225	W3012088940	True	gold	2020	0
unige:136005	2020	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	Article scientifique	10.1038/S41598-020-62480-3	32245990	1	0	0	1	10.1038/S41598-020-62480-3	W3014263426	True	gold	2020	0
unige:164600	2019	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique	10.1039/C8TB01491D	32255098	1	0	0	1	10.1039/C8TB01491D	W2901852509	True	green	2019	0
unige:177066	2020	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.4414/SMW.2020.20248	32297958	1	0	0	1	10.4414/SMW.2020.20248	W3017183152	True	gold	2020	0
unige:148292	2020	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.4414/SMW.2020.20249	32298458	1	0	0	1	10.4414/SMW.2020.20249	W3016880822	True	gold	2020	0
unige:163231	2020	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1161/CIRCULATIONAHA.120.047523	32315205	1	0	0	1	10.1161/CIRCULATIONAHA.120.047523	W3016876283	True	bronze	2020	0
unige:139869	2020	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	Article scientifique	10.1093/RHEUMATOLOGY/KEAA167	32375176	1	0	0	1	10.1093/RHEUMATOLOGY/KEAA167	W3021017437	True	green	2020	0
unige:163234	2020	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1093/EURHEARTJ/EHAA381	32405641	1	0	0	1	10.1093/EURHEARTJ/EHAA381	W3024188695	True	bronze	2020	0
unige:165009	2020	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/J.DEVCEL.2020.04.015	32428455	1	0	0	1	10.1016/J.DEVCEL.2020.04.015	W3025167781	True	hybrid	2020	0
unige:139154	2020	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Article scientifique	10.3290/J.QI.A44631	32500864	1	0	0	1	10.3290/J.QI.A44631	W3033406241	False	closed	2020	0
unige:140115	2020	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	Article scientifique	10.1088/1741-2552/AB9ADA	32516757	1	0	0	1	10.1088/1741-2552/AB9ADA	W3032944666	True	hybrid	2020	0
unige:153047	2020	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique	10.3201/EID2607.190631	32568044	1	0	0	1	10.3201/EID2607.190631	W3033833316	True	gold	2020	0
unige:138350	2020	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.2147/JPR.S251782	32581570	1	0	0	1	10.2147/JPR.S251782	W3031326517	True	gold	2020	0
unige:146962	2020	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.3201/EID2610.202403	32603290	1	0	0	1	10.3201/EID2610.202403	W3040490521	True	gold	2020	0
unige:143427	2020	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1002/JLB.5MA0620-039R	32620047	1	0	0	1	10.1002/JLB.5MA0620-039R	W3040453954	False	closed	2020	0
